기준일시,공급능력(MW),현재수요(MW),최대예측수요(MW),공급예비력(MW),공급예비율(%),운영예비력(MW),운영예비율(%)
20260409053500,79707.9,57468.4,72900.0,22239.5,38.6986,15720.8,26.6861
20260409054000,79733.3,57626.4,72900.0,22106.9,38.3625,14997.2,25.3898
20260409054500,79677.1,57403.2,72900.0,22273.9,38.8025,15503.3,26.3484
20260409055000,79656.3,57553.9,72900.0,22102.4,38.4029,15642.4,26.5168
20260409055500,79707.1,57432.6,72900.0,22274.6,38.7838,16340.7,27.7458
20260409060000,79717.3,58152.2,72900.0,21565.1,37.0839,16263.3,27.3844
20260409060500,79701.9,58848.5,72900.0,20853.4,35.4357,15741.9,26.2004
20260409061000,79705.2,59001.6,72900.0,20703.6,35.0899,16040.3,26.6297
20260409061500,79706.4,59360.5,72900.0,20345.9,34.2751,16027.4,26.45
20260409062000,79772.8,59641.9,72900.0,20130.9,33.7529,16036.3,26.3424
20260409062500,79746.6,59772.4,72900.0,19974.2,33.4171,16090.4,26.3737
20260409063000,79804.6,59823.7,72900.0,19980.9,33.3996,16117.2,26.3961
20260409063500,79896.9,60416.2,72900.0,19480.7,32.2441,15890.0,25.7749
20260409064000,79899.6,60600.7,72900.0,19298.9,31.8459,15628.1,25.2748
20260409064500,80948.8,61142.1,72900.0,19806.7,32.3945,15588.8,24.9923
20260409065000,80951.6,61132.5,72900.0,19819.1,32.4198,15706.2,25.1845
20260409065500,80981.1,61422.9,72900.0,19558.3,31.842,15534.4,24.7952
20260409070000,81033.2,61910.1,72900.0,19123.0,30.8884,15473.3,24.5065
20260409070500,81337.2,62618.6,72900.0,18718.6,29.893,15138.6,23.7122
20260409071000,81314.2,63492.6,72900.0,17821.6,28.0688,14631.4,22.6088
20260409071500,81342.9,63726.1,72900.0,17616.8,27.6446,14420.8,22.2043
20260409072000,81348.9,64016.8,72900.0,17332.0,27.0741,14358.9,22.0108
20260409072500,81381.2,64287.4,72900.0,17093.8,26.5896,14726.1,22.4799
20260409073000,81399.2,64585.3,72900.0,16814.0,26.0337,14685.4,22.3111
20260409073500,81461.3,65274.4,72900.0,16187.0,24.7983,14344.0,21.5688
20260409074000,81537.0,65735.7,72900.0,15801.3,24.0376,14254.4,21.2872
20260409074500,81602.0,66226.5,72900.0,15375.5,23.2166,14259.8,21.1396
20260409075000,81624.8,66349.4,72900.0,15275.4,23.0227,14359.1,21.2489
20260409075500,81682.4,66754.2,72900.0,14928.2,22.363,14016.4,20.6185
20260409080000,81717.5,66833.1,72900.0,14884.4,22.271,14230.3,20.9093
20260409080500,81500.1,67202.8,72900.0,14297.3,21.2748,13756.2,20.103
20260409081000,81528.0,67855.1,72900.0,13672.8,20.1501,13230.2,19.1526
20260409081500,81514.6,68436.0,72900.0,13078.6,19.1107,12767.3,18.3291
20260409082000,81506.9,69056.0,72900.0,12450.9,18.0302,12223.0,17.3919
20260409082500,81490.0,69479.9,72900.0,12010.1,17.2857,12159.1,17.1979
20260409083000,81977.4,69852.2,72900.0,12125.2,17.3584,12071.3,16.9844
20260409083500,82025.6,70280.7,72900.0,11744.9,16.7114,11678.6,16.3343
20260409084000,82039.2,70693.1,72900.0,11346.1,16.0497,11312.8,15.732
20260409084500,82098.8,70964.8,72900.0,11134.0,15.6895,11081.7,15.3545
20260409085000,82085.8,71404.3,72900.0,10681.5,14.9592,10667.8,14.6916
20260409085500,82079.0,71862.1,72900.0,10216.9,14.2174,10265.5,14.0499
20260409090000,82003.5,72100.3,72900.0,9903.22,13.7353,9832.58,13.4121
20260409090500,81842.1,72325.2,72900.0,9516.93,13.1585,9524.97,12.9532
20260409091000,81842.6,72184.2,72900.0,9658.41,13.3802,9676.23,13.184
20260409091500,81814.2,72252.5,72900.0,9561.72,13.2338,9573.37,13.0319
20260409092000,81823.0,72431.5,72900.0,9391.5,12.966,9416.88,12.7881
20260409092500,81770.1,72663.1,72900.0,9107.02,12.5332,9127.15,12.3569
20260409093000,81756.1,72862.9,72900.0,8893.19,12.2054,8943.66,12.0754
20260409093500,81519.5,72626.3,72900.0,8893.21,12.2452,8906.21,12.0607
20260409094000,81527.7,72825.2,72900.0,8702.52,11.9499,8762.45,11.8366
20260409094500,81489.3,72696.6,72900.0,8792.73,12.0951,8849.41,11.9743
20260409095000,81571.5,72843.1,72900.0,8728.46,11.9826,8807.45,11.8939
20260409095500,81666.4,72805.0,72900.0,8861.46,12.1715,8980.33,12.132
20260409100000,81682.2,72499.9,72900.0,9182.29,12.6652,9255.85,12.548
20260409100500,81147.2,72658.4,72900.0,8488.81,11.6832,8743.11,11.8303
20260409101000,81185.5,72920.4,72900.0,8265.15,11.3345,8660.81,11.6768
20260409101500,81247.2,72894.3,72900.0,8352.86,11.4589,8673.38,11.6985
20260409102000,81281.8,73081.6,72900.0,8200.23,11.2207,8573.52,11.5346
20260409102500,81273.0,72854.9,72900.0,8418.1,11.5546,8687.2,11.7222
20260409103000,81203.5,72705.6,72900.0,8497.91,11.6881,8735.04,11.8106
20260409103500,81136.4,72912.5,72900.0,8223.95,11.2792,8417.47,11.3496
20260409104000,81068.7,72564.2,72900.0,8504.49,11.72,8603.96,11.656
20260409104500,81082.3,72727.0,72900.0,8355.23,11.4885,8444.18,11.4139
20260409105000,81084.0,72770.1,72900.0,8313.87,11.4248,8341.81,11.269
20260409105500,81303.8,72707.6,72900.0,8596.18,11.8229,8539.15,11.5459
20260409110000,81274.3,72568.4,72900.0,8705.95,11.9969,8614.75,11.6685
20260409110500,80981.2,72444.9,72900.0,8536.33,11.7832,8492.9,11.534
20260409111000,80953.8,72362.7,72900.0,8591.12,11.8723,8671.78,11.7903
20260409111500,80910.4,72314.3,72900.0,8596.07,11.8871,8573.45,11.6641
20260409112000,80935.9,72398.6,72900.0,8537.3,11.7921,8413.16,11.433
20260409112500,80951.2,72243.4,72900.0,8707.87,12.0535,8506.21,11.5833
20260409113000,80967.1,71992.2,72900.0,8974.97,12.4666,8742.53,11.9456
20260409113500,80905.7,72143.0,72900.0,8762.68,12.1463,8514.26,11.6108
20260409114000,80905.1,72193.8,72900.0,8711.28,12.0665,8374.32,11.4123
20260409114500,80846.1,71922.4,72900.0,8923.72,12.4074,8620.65,11.7929
20260409115000,80844.3,71510.8,72900.0,9333.49,13.0519,8788.41,12.0897
20260409115500,80839.8,71037.4,72900.0,9802.38,13.7989,8894.48,12.3174
20260409120000,80861.9,70118.8,72900.0,10743.1,15.3212,9135.59,12.8142
20260409120500,80801.4,70337.9,72900.0,10463.5,14.8761,9070.97,12.6841
20260409121000,80770.8,70461.9,72900.0,10309.0,14.6306,9413.03,13.1395
20260409121500,80794.1,70515.4,72900.0,10278.8,14.5766,9257.58,12.9063
20260409122000,80727.6,70440.7,72900.0,10286.9,14.6037,9225.69,12.8815
20260409122500,80737.5,70342.4,72900.0,10395.1,14.7778,9326.54,13.0416
20260409123000,80748.3,70329.7,72900.0,10418.6,14.814,9330.86,13.0497
20260409123500,80655.5,70150.7,72900.0,10504.9,14.9747,9785.12,13.7191
20260409124000,80636.8,70380.9,72900.0,10255.9,14.572,9705.14,13.5605
20260409124500,80605.3,70524.6,72900.0,10080.6,14.2938,9608.07,13.3977
20260409125000,80125.6,70845.3,72900.0,9280.29,13.0994,9136.84,12.687
20260409125500,80060.5,71282.9,72900.0,8777.52,12.3136,8795.38,12.1385
20260409130000,80330.8,71793.5,72700.0,8537.33,11.8915,8662.15,11.8709
20260409130500,80840.3,72583.2,72700.0,8257.08,11.376,8210.72,11.1312
20260409131000,80979.9,73103.4,72700.0,7876.58,10.7746,7991.5,10.758
20260409131500,81705.6,72902.4,72700.0,8803.25,12.0754,8925.63,12.049
20260409132000,81369.4,73088.1,72700.0,8281.25,11.3305,8439.56,11.3646
20260409132500,81380.9,73235.8,72700.0,8145.1,11.1217,8303.75,11.1595
20260409133000,81384.6,73631.3,72700.0,7753.23,10.5298,8000.51,10.6951
20260409133500,81706.8,73659.8,72700.0,8047.02,10.9246,8293.95,11.0826
20260409134000,81718.0,73493.8,72700.0,8224.28,11.1904,8548.37,11.4479
20260409134500,81740.9,73428.8,72700.0,8312.19,11.3201,8719.99,11.689
20260409135000,81720.5,73696.5,72700.0,8024.04,10.888,8440.3,11.2736
